"Order ID","Date Start",Customer,Source,Qty,Amount,Season,"Customer PO",Salesperson,"Credit Terms","Ship Via",Notes,"Credit Status",Date,"Qty Open","Amount Open","Amount Discount"
"88077","09/01/24","Nomad Supply Company","Post Deadline","35.00","1030.50","FALL 2024","Fall1","Sandbox Metro","Net 30","UPS® Ground","","Approved","01/02/24","0.00","0.00","0.00"
"88078","11/01/24","Nomad Supply Company","Post Deadline","60.00","2133.00","FALL 2024","Fall2","Sandbox Metro","Net 30","UPS® Ground","","Approved","01/02/24","0.00","0.00","0.00"
"88135","09/01/24","Extreme Board and Ski / Jersey Pools and Spas","Post Deadline","42.00","2005.50","FALL 2024","PORET0012670","Sandbox Metro","Net 60","UPS® Ground","","Approved","01/03/24","0.00","0.00","0.00"
"88152","08/01/24","SINK'R SWIM","Post Deadline","169.00","6744.50","FALL 2024","WMFALL24","In-House","Net 30","Pickup/Delivery","","Approved","01/03/24","0.00","0.00","0.00"
"88195","07/15/24","The Woodsman Company","Post Deadline","120.00","1872.00","FALL 2024","F24 JETTY TEES","In-House","Net 60","UPS® Ground","","Approved","01/04/24","0.00","0.00","0.00"
"88196","10/01/24","The Woodsman Company","Post Deadline","122.00","5833.00","FALL 2024","F24 JETTY JKTS","In-House","Net 60","UPS® Ground","","Approved","01/04/24","0.00","0.00","0.00"
"88471","08/01/24","Crazy Shark Surf Shop","Post Deadline","105.00","1490.00","FALL 2024","Fall 24","In-House","Credit Card","UPS® Ground","","Approved","01/07/24","0.00","0.00","0.00"
"88481","09/01/24","CND SNOW AND SKATE","Post Deadline","48.00","2627.00","FALL 2024","cndjetty24","Dennis Regan","Net 30","UPS® Ground","","Approved","01/07/24","0.00","0.00","0.00"
"88508","09/15/24","Ocean Surf Shop","Post Deadline","24.00","901.00","FALL 2024","JETTY FALL 2023","The Bunker","Net 30","UPS® Ground","","Approved","01/08/24","0.00","0.00","0.00"
"88510","07/01/24","Island Style","Post Deadline","125.00","2512.50","FALL 2024","GM_MENS_070124","Curtis Wheeler","Net 30","UPS® Ground","","Approved","01/08/24","0.00","0.00","0.00"
"88566","11/01/24","OTHERSIDE BOARDSPORTS","Post Deadline","108.00","1809.50","FALL 2024","Jetty FW24 11/1","The Bunker","Credit Card HOLD","UPS® Ground","","Approved","01/09/24","0.00","0.00","0.00"
"88567","09/25/24","WIND & WAVE SURF SHOP","Post Deadline","74.00","2114.50","FALL 2024","Jetty Fall 24","Curtis Wheeler","Net 30","UPS® Ground","","Approved","01/09/24","0.00","0.00","0.00"
"88568","01/01/25","OTHERSIDE BOARDSPORTS","Post Deadline","36.00","570.00","FALL 2024","Jetty FW 1/1","The Bunker","Credit Card HOLD","UPS® Ground","","Approved","01/09/24","0.00","0.00","0.00"
"88592","07/01/24","FELLS POINT SURF CO","Post Deadline","93.00","1301.00","FALL 2024","FPMJETTY7124FB","In-House","Net 30","UPS® Ground","","Approved","01/09/24","0.00","0.00","0.00"
"88593","08/01/24","FELLS POINT SURF CO","Post Deadline","115.00","4370.00","FALL 2024","FPMJETTY8124FB","In-House","Net 30","UPS® Ground","","Approved","01/09/24","0.00","0.00","0.00"
"88628","07/01/24","BREAKERS SURF SHOP","Post Deadline","103.00","1845.00","FALL 2024","jetty7/1","In-House","Net 30","UPS® Ground","","Approved","01/10/24","0.00","0.00","0.00"
"88629","08/01/24","BREAKERS SURF SHOP","Post Deadline","42.00","1533.00","FALL 2024","jetty8/1","In-House","Net 30","UPS® Ground","","Approved","01/10/24","0.00","0.00","0.00"
"88704","07/15/24","BAJA EAST","Post Deadline","14.00","217.00","FALL 2024","f1","In-House","Net 30","UPS® Ground","","Approved","01/11/24","0.00","0.00","0.00"
"88705","07/01/24","BAJA EAST","Post Deadline","60.00","582.00","FALL 2024","f2","In-House","Net 30","UPS® Ground","","Approved","01/11/24","0.00","0.00","0.00"
"88706","08/31/24","BAJA EAST","Post Deadline","10.00","205.00","FALL 2024","f3","In-House","Net 30","UPS® Ground","","Approved","01/11/24","0.00","0.00","0.00"
"88707","09/10/24","BAJA EAST","Post Deadline","5.00","170.00","FALL 2024","f4","In-House","Net 30","UPS® Ground","","Approved","01/11/24","0.00","0.00","0.00"
"88708","09/19/24","BAJA EAST","Post Deadline","6.00","204.00","FALL 2024","f5","In-House","Net 30","UPS® Ground","","Approved","01/11/24","0.00","0.00","0.00"
"88709","09/29/24","BAJA EAST","Post Deadline","31.00","721.00","FALL 2024","f6","In-House","Net 30","UPS® Ground","","Approved","01/11/24","0.00","0.00","0.00"
"88710","10/08/24","BAJA EAST","Post Deadline","16.00","594.00","FALL 2024","f7","In-House","Net 30","UPS® Ground","","Approved","01/11/24","0.00","0.00","0.00"
"88711","10/17/24","BAJA EAST","Post Deadline","19.00","758.50","FALL 2024","f8","In-House","Net 30","UPS® Ground","","Approved","01/11/24","0.00","0.00","0.00"
"88714","08/09/24","BAJA EAST","Post Deadline","16.00","264.00","FALL 2024","f11","In-House","Net 30","UPS® Ground","","Approved","01/11/24","0.00","0.00","0.00"
"88734","08/01/24","Seven Anchors (Spectrum Salon LLC)","Post Deadline","23.00","977.00","FALL 2024","FA24","The Bunker","Credit Card","UPS® Ground","","Approved","01/11/24","0.00","0.00","0.00"
"89055","08/15/24","Sweetwater Surf Shop","Post Deadline","7.00","115.50","FALL 2024","7414","The Bunker","Net 30","UPS® Ground","","Approved","01/17/24","0.00","0.00","0.00"
"89056","09/01/24","Sweetwater Surf Shop","Post Deadline","12.00","198.00","FALL 2024","7415","The Bunker","Net 30","UPS® Ground","","Approved","01/17/24","0.00","0.00","0.00"
"89057","10/01/24","Sweetwater Surf Shop","Post Deadline","6.00","93.00","FALL 2024","7416","The Bunker","Net 30","UPS® Ground","","Approved","01/17/24","0.00","0.00","0.00"
